epoch,MAE,MSE
1,667.5435629272461,786787.48875
2,648.2686352539063,757761.9525
3,648.5869720458984,762343.979375
4,651.3552447509766,764162.0178125
5,661.5286169433593,784954.24375
6,646.0154122924805,756073.5921875
7,644.5701583862304,760405.0959375
8,631.0666537475586,737747.844375
9,605.0941424560547,690248.53375
10,615.5886001586914,706413.19375
11,629.9861459350586,731187.3621875
12,615.2931277465821,709006.9659375
13,614.7718481445313,722088.45
14,604.306004333496,696825.1509375
15,615.341799621582,716661.0446875
16,599.2076065063477,685883.6590625
17,603.267961730957,696185.51046875
18,610.4152990722656,709592.0403125
19,580.2938473510742,655858.7221875
20,583.9783193969727,664188.8346875
21,581.4484744262695,657762.1821875
22,588.9321725463867,672211.1253125
23,568.3798486328125,633021.306875
24,534.4114727783203,584910.661875
25,564.1355554199218,633794.044375
26,560.0175210571289,632846.0321875
27,567.4301019287109,637498.6759375
28,562.7976354980469,635278.9315625
29,553.7512435913086,614231.34171875
30,559.4938320922852,628297.4359375
31,567.5322866821289,644850.3265625
32,532.6727529907226,586628.663125
33,528.0402597045899,578371.11828125
34,540.0825155639649,594788.95546875
35,521.9076452636718,563868.26609375
36,538.7856640625,588781.0915625
37,530.4136999511719,578574.27078125
38,504.3441638183594,543459.1846875
39,508.0753170776367,540247.58984375
40,499.19139190673826,523047.6828125
41,513.214903717041,556951.9165625
42,502.34090209960937,526398.6853125
43,493.50664672851565,523802.89
44,493.2730792236328,515014.83234375
45,490.7140130615234,518849.6840625
46,495.0181185913086,519709.2090625
47,482.8392602539063,505154.9278125
48,491.5690234375,514051.4946875
49,489.3534887695312,506682.47234375
50,488.9324792480469,507623.5096875
51,487.95847381591796,504493.95796875
52,480.8016802978516,496607.09734375
53,482.3008654785156,500002.62734375
54,463.43204833984373,474013.93984375
55,469.45106414794924,484101.68984375
56,466.6999578857422,476276.1290625
57,466.19611419677733,469606.3703125
58,455.0772128295898,452581.6784375
59,482.0035610961914,491325.18515625
60,466.5747611999512,471286.63375
61,454.3300762939453,452268.26609375
62,457.5868621826172,466117.640625
63,446.6951000976562,446306.48171875
64,423.115224609375,417520.9146875
65,437.2144149780273,436275.21203125
66,429.44844024658204,428308.765625
67,431.2210102844238,431794.22328125
68,417.35129974365236,408288.5796875
69,426.47395599365234,419264.5390625
70,432.9451005554199,431035.41984375
71,418.709429473877,408377.834765625
72,421.16407241821287,412071.94484375
73,432.92427154541014,421581.385625
74,402.7143603515625,381911.65453125
75,421.07586975097655,409719.86015625
76,406.3519120788574,387552.980546875
77,409.17523712158203,391864.70484375
78,407.4989309692383,388865.38921875
79,386.87493942260744,358137.28578125
80,398.0324041748047,371970.8246875
81,397.35497985839845,382875.10953125
82,383.0786340332031,353934.07765625
83,389.5489208984375,361183.24203125
84,374.21178131103517,342556.24640625
85,392.06451904296875,362768.0415625
86,383.3319482421875,357431.1478125
87,386.7901251220703,354901.19609375
88,384.8217733764648,361818.416171875
89,379.9777713012695,346836.0425
90,365.6063084411621,332811.008359375
91,366.7639030456543,332020.509375
92,360.1032084655762,325145.969921875
93,366.72729782104494,325091.8890625
94,371.69592437744143,336425.15
95,361.1331506347656,326391.252734375
96,358.35771209716796,315636.736328125
97,363.84119415283203,322910.31359375
98,362.9633184814453,321195.911015625
99,350.77786041259765,304240.342421875
100,350.40717880249025,307312.680625
101,338.34736251831055,286048.8353515625
102,341.63688018798825,295846.573671875
103,343.88725784301755,291285.3478125
104,349.15480438232424,298832.9375
105,323.31971649169924,270334.05875
106,359.3111912536621,316482.13796875
107,328.81258865356443,278182.24671875
108,333.5225337219238,278449.0146875
109,316.5669064331055,255202.540625
110,323.2235804748535,265270.26609375
111,339.29605545043944,282282.821953125
112,322.15735321044923,262026.879453125
113,332.3007005310059,277088.190390625
114,324.1308435058594,265312.890546875
115,313.55692016601563,249295.01328125
116,315.80255783081054,249974.856640625
117,310.9731672668457,246470.55734375
118,317.8650250244141,260517.958515625
119,319.0244300842285,255845.6402734375
120,300.39943450927734,235147.30703125
121,315.6205450439453,252703.372421875
122,309.0108686828613,243791.701640625
123,294.83378143310546,226032.9407421875
124,299.0047964477539,229815.286953125
125,308.2368089294434,243826.812734375
126,298.79770065307616,226085.839609375
127,308.1786848449707,241023.973046875
128,301.5932551574707,228888.805390625
129,287.76808197021484,214170.03859375
130,283.736229095459,209358.80671875
131,280.0791241455078,206872.9870703125
132,295.37625579833986,224873.19640625
133,291.34154205322267,216504.0977734375
134,287.1409393310547,212010.0030859375
135,277.04882446289065,198329.96984375
136,281.05325912475587,205893.4427734375
137,272.25942291259764,193670.9875
138,281.47962646484376,204971.2979296875
139,280.801436920166,202553.13296875
140,268.16787521362306,192107.989921875
141,269.23482818603514,191609.58390625
142,268.47194610595704,190496.2073828125
143,263.1521173095703,182460.267890625
144,266.24367446899413,185514.8697265625
145,268.7121754455566,187134.193828125
146,253.94602783203126,175149.963125
147,259.30253189086915,176305.7119921875
148,257.73969528198245,176898.8186328125
149,251.59290023803712,168508.0333203125
150,244.56072723388672,162285.8212109375
151,238.77009704589844,151424.8205078125
152,251.81495376586915,169460.933515625
153,248.64647766113282,164472.0998046875
154,243.08433517456055,156220.5625
155,241.3317140197754,154174.2991015625
156,238.88272354125976,153820.586328125
157,232.65154205322267,145697.4602734375
158,241.16236450195314,157837.148125
159,237.71546951293945,149078.17796875
160,233.74982139587402,147924.9442578125
161,228.8374464416504,142298.22783203126
162,242.16496932983398,154998.76453125
163,225.78967208862304,141656.7720703125
164,225.99753402709962,138451.413359375
165,242.6747509765625,152043.133125
166,239.86419876098634,150907.0370703125
167,233.81246643066407,148978.99953125
168,225.6948863220215,140651.7105859375
169,226.07862899780272,140149.5383203125
170,225.44077392578126,139666.806015625
171,221.29740997314454,136173.59046875
172,218.2356372833252,130799.4353125
173,221.61938041687011,140915.18572265626
174,215.75715675354004,132413.6334765625
175,208.3732908630371,122653.693125
176,218.23892753601075,132035.5440625
177,208.79545333862305,125311.696171875
178,211.934083404541,126094.2923828125
179,211.34072052001954,128002.8902734375
180,205.32551536560058,117841.2633203125
181,202.9799080657959,118661.18546875
182,199.7508071899414,112773.5874609375
183,203.6249737548828,118836.5709765625
184,208.26890823364258,120779.76703125
185,200.41813606262207,114392.9891796875
186,194.67647476196288,112546.395234375
187,195.90757881164552,109995.317734375
188,192.24071533203124,106035.22548828126
189,195.76498725891113,109058.292734375
190,192.97428298950194,108108.041328125
191,200.22140808105468,112259.9975
192,190.81032203674317,103069.900703125
193,189.47921417236327,100423.3788671875
194,195.15456619262696,109507.594765625
195,186.7580480194092,98289.0037109375
196,188.0485634613037,100998.045859375
197,195.23043251037598,107118.55064453125
198,182.7805638885498,97930.03904296875
199,181.19198959350587,91888.0570703125
200,188.10513572692872,103072.861015625
201,178.32805824279785,92096.9138671875
202,181.14994918823243,94818.2133984375
203,185.78773597717284,99855.5583984375
204,179.21822776794434,96445.35068359374
205,170.86046600341797,86413.150625
206,170.18806396484376,86639.2725390625
207,174.0239936065674,91703.80126953125
208,159.2367250061035,76791.855546875
209,185.70372268676758,97025.26646484375
210,188.3559136199951,98838.1662109375
211,180.49524475097655,91979.37767578124
212,179.54189598083497,91960.053984375
213,176.59445220947265,92231.61388671875
214,170.95445404052734,87057.4482421875
215,180.85235610961914,94690.22890625
216,185.17914886474608,102891.7496875
217,177.2907873535156,95585.6934765625
218,179.9193180847168,92728.4130859375
219,171.26272567749024,85895.4300390625
220,170.56029380798338,86948.30095703126
221,165.35230964660644,82938.564921875
222,171.0667292022705,86358.10619140624
223,166.5947245788574,82997.17412109375
224,159.86797256469725,77246.57490234375
225,172.11033699035644,90026.59390625
226,162.20188697814942,79747.9698828125
227,166.61473136901856,82419.66263671876
228,170.24552314758301,85088.4619921875
229,166.16486099243164,82306.26802734374
230,157.7497241973877,75740.48322265624
231,164.48580879211426,81532.17609375
232,157.87919677734374,77052.07501953124
233,163.18093002319335,81085.9896875
234,155.31064559936524,76451.0820703125
235,157.0414365386963,76017.2326171875
236,153.5100671005249,74037.2773046875
237,153.95134826660157,73476.9860546875
238,158.50074516296388,76026.897890625
239,151.04345039367675,68902.8137109375
240,153.9297954559326,73942.1691015625
241,144.79735366821288,64339.98453125
242,149.72959518432617,67147.00716796875
243,145.87448417663575,65508.65501953125
244,142.04335464477538,63488.59509765625
245,142.9914288330078,63915.225703125
246,138.64794258117675,60712.76125
247,137.77435729980468,57378.0606640625
248,141.82866661071776,63635.9111328125
249,139.37524299621583,59566.6253125
250,133.98195121765136,56976.9896484375
251,133.85294425964355,58002.1365625
252,131.2449195098877,53746.72713867188
253,135.88477455139162,57948.56064453125
254,132.46605003356933,54889.16484375
255,143.26628105163573,62458.4175
256,133.50802574157714,55296.6917578125
257,128.29137092590332,51116.85638671875
258,132.54007598876953,55044.5245703125
259,131.80805686950683,55162.744736328124
260,123.79308723449707,48226.90250976563
261,130.55969284057616,55014.29921875
262,127.83999351501465,50504.115
263,130.0514736175537,53257.31369140625
264,128.29627250671388,51605.4922265625
265,126.53729484558106,51266.4790625
266,120.45151069641113,45691.425498046876
267,126.66013229370117,49529.32908203125
268,126.14817359924317,49686.209921875
269,125.75943382263183,48728.8952734375
270,125.24576599121093,48988.6936328125
271,120.13494468688965,45499.80119140625
272,121.51384628295898,48085.2248046875
273,118.86299552917481,46430.54262695312
274,119.33082454681397,45822.351943359376
275,117.54408576965332,42715.15172851562
276,116.23440444946289,43952.52107421875
277,123.3970015335083,48847.85001953125
278,131.65813339233398,51956.94907226563
279,128.31908378601074,51046.227509765624
280,125.90833992004394,48818.43399414062
281,123.89628341674805,49077.37935546875
282,123.45809253692627,46797.251044921875
283,125.67817810058594,51255.898203125
284,117.48910537719726,44480.34020507812
285,117.53431510925293,42685.695703125
286,115.85622802734375,42329.4735546875
287,122.12505516052246,47817.87720703125
288,148.6977410888672,63328.648720703124
289,156.3337494659424,71910.5442578125
290,156.2264949798584,73999.1025390625
291,159.23552825927734,76434.2523046875
292,146.4950733947754,64146.14970703125
293,156.395837020874,73469.1830078125
294,153.64312057495118,72433.41240234375
295,152.97362762451172,69967.1232421875
296,146.79731231689453,66224.67828125
297,149.82777275085448,69025.64755859374
298,140.51165641784667,59970.88931640625
299,139.16580192565917,57681.00560546875
300,145.0311972808838,64266.6485546875
301,139.5245923614502,58594.36806640625
302,145.42698616027832,64702.897734375
303,138.10284637451173,57902.4606640625
304,137.51837348937988,57937.95099609375
305,132.80324684143068,54241.1049609375
306,133.14114616394042,53553.25806640625
307,129.9444609069824,52688.3151171875
308,131.92988105773927,53304.7741796875
309,126.9327522277832,49349.2055859375
310,131.82873725891113,55563.0521484375
311,128.84936271667482,51283.73560546875
312,133.1787431335449,54495.33693359375
313,130.0514705657959,51850.47083984375
314,127.30685943603515,51684.34290039063
315,122.29422920227051,47097.685859375
316,123.5523225402832,47689.705078125
317,127.54977210998535,51156.3462109375
318,123.71804138183593,49953.40537109375
319,122.24780708312989,46619.29194335938
320,126.11968475341797,50531.78494140625
321,124.23741973876953,49186.991240234376
322,125.21904632568359,48609.9866015625
323,126.34414894104003,51138.27166015625
324,128.38808555603026,50300.50034179688
325,127.90910903930664,51887.466640625
326,122.84699645996093,47566.93134765625
327,121.95680000305175,44885.01630859375
328,116.83127876281738,42368.84391601563
329,122.81905372619629,46317.61340820313
330,114.21802673339843,41259.99947265625
331,115.74578575134278,44003.767578125
332,120.0139022064209,46280.97176757813
333,118.25206592559815,46412.05776367187
334,112.53286285400391,40471.6808984375
335,111.36044437408447,40698.440400390624
336,115.02472282409668,41349.6430078125
337,113.6299105834961,39763.53224609375
338,113.57152091979981,40373.05334960938
339,112.47693267822265,39830.61133789062
340,114.01074462890625,40995.5409765625
341,109.64059036254883,39052.70888671875
342,108.9652352142334,39615.117255859375
343,112.70009090423584,41831.557646484376
344,111.79320587158203,39335.111875
345,111.43628616333008,39348.731640625
346,105.77627674102783,36570.38499023437
347,112.82712326049804,40801.264267578124
348,113.83354446411133,40921.40446289063
349,102.66362358093262,33760.54095703125
350,104.66566440582275,35533.33372070312
351,106.79778457641602,37878.99498046875
352,102.49728019714355,34219.416708984376
353,108.02983863830566,39220.569931640624
354,119.48717460632324,40461.70552734375
355,112.60417167663574,36336.24763671875
356,112.22362533569336,38175.88637695312
357,111.77207992553711,37616.97806640625
358,105.21531051635742,34573.283095703126
359,109.17222297668457,36812.447109375
360,104.82017009735108,33518.79567382813
361,107.67070919036865,36753.52844726563
362,101.14480934143066,31137.9853515625
363,104.48016830444335,33898.29888671875
364,101.58096244812012,32890.49771484375
365,98.72186695098877,31083.7583203125
366,102.70574348449708,34530.25369140625
367,103.97017997741699,34403.75578125
368,102.54440486907959,34185.15278320313
369,102.73820178985596,34211.0469140625
370,104.4918804550171,34651.411064453125
371,101.47592334747314,33189.49900390625
372,98.22822174072266,30566.85740234375
373,102.48542503356934,33290.5180859375
374,98.4983334350586,32197.34859375
375,100.84440654754638,33307.11744140625
376,97.92271034240723,31659.85740234375
377,98.1120244216919,32135.20205078125
378,100.16694099426269,33483.21017578125
379,104.26202419281006,34321.204296875
380,100.42483867645264,32957.39780273438
381,102.87338569641113,33843.480185546876
382,98.71178936004638,31836.192177734374
383,98.96592079162598,31468.875205078126
384,94.65784561157227,29032.455693359374
385,92.12677642822266,28468.758173828126
386,95.97715492248535,30263.213798828125
387,90.83246822357178,27563.462036132812
388,94.9343304824829,30663.58739746094
389,93.42956031799316,29438.073876953124
390,95.52312080383301,30059.776787109375
391,93.60826824188233,29612.364453125
392,92.37271572113038,29128.330087890627
393,91.91048553466797,27999.9432421875
394,94.02323219299316,29548.54080078125
395,93.77042709350586,29014.859267578126
396,91.36509494781494,27686.0073828125
397,91.46023838043213,29026.23471191406
398,94.08306255340577,29568.574619140625
399,97.64773418426513,31164.365908203126
400,132.34682281494142,54452.60970703125
401,126.72951919555663,50504.84138671875
402,136.04840438842774,55792.8705859375
403,131.93656970977784,55120.61619140625
404,124.10930381774902,49939.820859375
405,132.34448654174804,54458.048984375
406,133.39848518371582,56180.6407421875
407,128.09064430236816,51087.81556640625
408,127.71480514526367,49302.585078125
409,117.05204040527343,44827.637490234374
410,111.45479751586915,41373.60426757813
411,111.1133194732666,38834.03267578125
412,115.01903106689453,42629.3945703125
413,111.39439086914062,40114.89241210937
414,110.31267074584962,39691.9971875
415,112.6567720413208,39427.05260742187
416,116.07003829956055,42353.5313671875
417,110.02965930938721,38517.71078125
418,110.2271183013916,39663.701689453126
419,105.83892318725586,36359.24333007813
420,105.45966934204101,37037.42810546875
421,105.80543678283692,36421.89013671875
422,104.8585865020752,37143.31314453125
423,103.24410144805908,36004.46958007813
424,105.40157649993897,34882.76805664063
425,100.98014247894287,34286.88736328125
426,98.65611030578613,32639.914189453124
427,97.37467357635498,31306.618017578126
428,101.71561920166016,32857.19838867187
429,100.84433589935303,31812.16416015625
430,100.16658653259277,31115.52037597656
431,100.08794242858886,32176.35345703125
432,97.80242908477783,31260.454140625
433,102.87871147155762,34683.60890625
434,97.86264770507813,31402.629912109376
435,95.4489852142334,28664.11677734375
436,99.40229785919189,33403.41034179687
437,98.19066295623779,31467.4346484375
438,100.47646514892578,32586.66623046875
439,100.27937770843506,31190.595380859377
440,105.57446544647217,33195.76841796875
441,100.4088236618042,31160.5051171875
442,105.37580871582031,34703.76693359375
443,104.26214485168457,33421.531381835935
444,102.54849082946777,33765.90201171875
445,95.5527968597412,30762.514853515626
446,98.05532669067382,29974.352998046874
447,99.4332836151123,31032.174287109374
448,94.48238666534424,28686.98935546875
449,99.68139533996582,32027.932099609374
450,97.40321147918701,31060.491748046876
451,92.17694320678712,28764.123642578124
452,91.43388004302979,27817.387568359376
453,91.85358078002929,27561.6216015625
454,96.28029300689697,31736.729189453126
455,96.32562778472901,29727.81193359375
456,92.51280498504639,28267.970654296874
457,96.82364974975586,30376.627490234376
458,97.07853160858154,30900.0291015625
459,95.25672882080079,30579.58043457031
460,88.4929905319214,26458.823784179687
461,87.82041179656983,26615.950087890626
462,82.58204055786133,23252.693095703125
463,87.27019798278809,25350.581069335938
464,86.69781909942627,26197.8378515625
465,88.62889053344726,25942.5457421875
466,93.12193496704101,27579.38929199219
467,90.34742549896241,26947.5109375
468,90.18467895507813,27470.2499609375
469,85.8709094619751,26073.037485351564
470,87.45903148651124,25869.829853515625
471,87.16886116027833,25236.820927734374
472,84.84357582092285,23837.538701171874
473,84.38270481109619,24152.306372070314
474,86.6970386505127,25698.154736328124
475,88.63225162506103,27058.80517578125
476,86.03764442443848,24634.37712890625
477,86.73272331237793,24330.5812890625
478,89.48936046600342,26632.162641601564
479,89.13588123321533,25635.914736328126
480,84.93876571655274,24610.2071484375
481,87.97760498046875,25709.8779296875
482,84.63854629516601,23785.7528125
483,82.08025573730468,23008.191884765623
484,83.15773685455322,23986.292861328126
485,80.29864902496338,22929.636552734373
486,84.36538688659668,23687.17509277344
487,87.81201721191407,25709.813286132812
488,84.84670391082764,25535.022685546875
489,90.06645175933838,27244.541953125
490,86.30822200775147,25220.022783203123
491,84.82691650390625,25198.5078125
492,80.77180835723877,22302.30703125
493,85.53294830322265,24112.396899414063
494,89.65580486297607,26458.480375976564
495,85.44583129882812,23946.80094238281
496,81.6387455368042,22731.221625976563
497,88.86483444213867,25228.18166503906
498,91.10087875366212,26930.924721679687
499,88.19103214263916,25816.280234375
500,89.75333152770996,27097.019345703124
501,91.53488166809082,27633.8127734375
502,91.24799835205079,28345.138481445312
503,87.213381690979,25375.968969726564
504,89.55947204589843,26251.098095703124
505,88.7747562789917,26021.888706054688
506,87.1427490234375,25661.555385742187
507,90.22430618286133,26683.28171875
508,87.17954792022705,24915.53174316406
509,86.6300881576538,24988.402612304686
510,88.75341690063476,27165.895087890625
511,85.36823616027831,24283.616323242186
512,87.46471508026123,25817.45994140625
513,85.49642429351806,25408.021123046874
514,81.03634086608886,22562.812626953124
515,87.37632717132568,25244.8909375
516,86.34618228912353,25116.9915625
517,88.00947792053222,26018.58712890625
518,80.63967189788818,22165.199580078126
519,86.4098182296753,25732.45552734375
520,90.78715206146241,26584.181748046874
521,90.90000701904297,27821.853295898436
522,86.5547441482544,26601.505107421875
523,83.38198863983155,24310.97841796875
524,84.97579341888428,24769.644458007813
525,85.75409072875976,25445.684853515624
526,84.54382194519043,25302.4451953125
527,85.27920722961426,24834.51951171875
528,88.53097858428956,27218.97185546875
529,86.88728885650634,25890.11748046875
530,79.5994299697876,21777.5965234375
531,85.29420810699463,25084.131538085938
532,83.8700923538208,23887.634418945312
533,84.71068103790283,25095.12908691406
534,86.73632690429687,26173.534404296875
535,84.66698219299316,24411.20095703125
536,85.03217914581299,25093.07750488281
537,86.51496997833252,25249.23345703125
538,84.45831340789795,24370.33998046875
539,80.8348173904419,23737.3019921875
540,82.68617652893066,24603.067768554687
541,84.42984077453613,24331.000654296877
542,85.16003116607666,24385.685185546874
543,86.89682052612305,25863.786845703125
544,80.15996635437011,21712.795087890627
545,83.35844078063965,23864.948510742186
546,86.63895713806153,24591.717536621094
547,84.51563999176025,23991.313129882812
548,88.369075050354,26701.310712890627
549,82.71023811340332,23203.82192871094
550,85.5740595626831,25720.48046386719
551,91.12841152191162,27152.56216796875
552,92.7910599899292,26607.52478515625
553,87.96764049530029,25846.283408203126
554,84.1626485824585,23432.09919921875
555,86.06630023956299,25406.510551757812
556,88.21162368774414,25291.2687109375
557,98.84234451293945,30014.10953125
558,98.72867881774903,31636.64443359375
559,94.73568252563477,29310.894140625
560,91.06667789459229,27235.863334960937
561,88.55051689147949,26495.899223632812
562,90.72647079467774,27691.1912109375
563,93.1392865371704,29357.400634765625
564,88.99999767303467,25622.37826171875
565,92.51882144927978,28411.802119140626
566,88.94068309783935,26268.958388671876
567,89.38079124450684,27383.18052734375
568,91.11038528442383,27806.449291992187
569,91.26718498229981,28721.45111328125
570,89.23069721221924,27304.690444335938
571,90.36537693023682,27517.727216796877
572,87.33608287811279,26180.565395507812
573,94.08212635040283,29228.073935546876
574,89.23589595794678,26261.428857421874
575,89.98933166503906,27256.1653515625
576,89.62035545349121,26932.10427734375
577,84.96885272979736,24558.4668359375
578,91.6878331375122,27745.48384765625
579,89.66671451568604,26618.250122070312
580,89.02285099029541,27015.4429296875
581,88.7476304244995,27041.97669921875
582,90.14823303222656,26967.00625
583,82.47630710601807,23712.903935546874
584,90.18989318847656,29003.37798828125
585,87.06959266662598,26613.43642578125
586,87.27279479980469,25251.2626171875
587,89.14131896972657,27065.799794921873
588,84.34135593414307,23898.008525390625
589,81.6545016860962,22492.59508300781
590,85.91792671203613,25050.929750976564
591,86.74843425750733,26486.484487304686
592,84.10842098236084,23517.209375
593,94.07225631713867,28061.126572265624
594,88.39708740234374,24849.88701171875
595,82.64350849151612,23624.51453125
596,81.590471534729,22468.59564453125
597,84.65627559661866,25120.535966796873
598,81.58204875946045,23041.62119140625
599,89.20919956207275,26461.092265625
600,86.43570362091064,25412.66427734375
601,83.61242668151856,23934.87107421875
602,83.90523498535157,24489.430698242188
603,87.40231567382813,25855.9970703125
604,79.05851203918456,21771.331430664064
605,83.42673122406006,22701.637680664062
606,87.27245929718018,24867.399912109377
607,85.15945655822753,24785.99033203125
608,88.2085684967041,26012.10595703125
609,81.39597980499268,22844.42400390625
610,84.13909812927245,23490.32485839844
611,83.17074741363525,23525.021245117186
612,86.2417527770996,24561.49828125
613,89.51754661560058,25811.9517578125
614,89.8072589111328,26752.679057617188
615,84.88685882568359,24603.65022949219
616,85.78025421142578,24916.170625
617,84.22079605102539,23860.711494140625
618,86.89926860809327,25189.477548828127
619,81.67824741363525,22609.22203613281
620,85.45957118988036,24846.285185546876
621,85.09544033050537,24246.901948242186
622,82.99046230316162,24337.246845703125
623,80.77870094299317,22963.879091796876
624,83.188405418396,24533.638706054688
625,81.50301410675048,23571.316181640625
626,82.94424289703369,24410.842846679687
627,81.59128479003907,23079.221440429686
628,85.00080451965331,25758.256440429686
629,82.09606586456299,22610.814140625
630,79.60560901641846,23380.106318359376
631,81.19040565490722,23353.203203125
632,81.94152084350586,23468.603041992188
633,84.29434597015381,23888.946455078127
634,82.97298965454101,24158.5555078125
635,84.3300923538208,24253.0942578125
636,82.59809715270995,23296.5178515625
637,79.54143184661865,22871.632890625
638,79.54388156890869,22224.1921875
639,83.45612194061279,24083.150043945312
640,80.59902675628662,24183.80833984375
641,86.0175577545166,25279.5948828125
642,79.49141658782959,21068.093681640625
